Kontraktnavn,Count,Percent,Payment,PremiumWifiCount,AccessPointCount,RykkerSaldoSum,AntalRykker1Sum,AntalRykker2Sum
Fiber 300/300,19646,35.58219984423958,251094308.78,967.0,119.0,5643836.97,9639.0,2453.0
Fiber 100/100,10727,19.428395486570192,157562905.69,420.0,19.0,4311706.35,6819.0,1810.0
Fiber 1000/1000,10330,18.709361925633456,60841631.97,4855.0,433.0,2756454.64,4078.0,1183.0
Fiber 500/500,5389,9.760382518609747,105974602.65,2936.0,234.0,3543240.55,4858.0,1350.0
DSL,1652,2.992048973973521,4707452.42,0.0,0.0,166023.74,431.0,115.0
Fiber 25/25,1439,2.6062702624381937,42047453.46,25.0,0.0,680159.62,1053.0,206.0
COAX 1000/60,1100,1.9922844257692935,3331016.79,0.0,0.0,110953.77,265.0,68.0
COAX 100/35,780,1.412710774636408,1967348.14,0.0,0.0,56578.22,178.0,38.0
Fiber 200/200,762,1.3801097567601834,2507243.12,0.0,0.0,67020.29,160.0,35.0
Fiber 1000/500,649,1.175447811203883,2299360.59,0.0,0.0,53977.19,114.0,31.0
Fiber 20/20,571,1.0341767337402423,15310935.2,5.0,0.0,295554.35,318.0,74.0
Fiber 50/50,417,0.7552569141325413,9774848.72,13.0,0.0,339095.37,403.0,110.0
COAX 1000/500,359,0.6502091898647058,580937.94,0.0,0.0,47250.3,87.0,20.0
COAX 300/300,309,0.5596508068751924,474850.45,0.0,0.0,38376.92,88.0,18.0
Fiber 250/250,285,0.516182783040226,836096.03,0.0,0.0,14717.67,35.0,12.0
COAX 200/25,266,0.481770597504211,669666.6,0.0,0.0,21593.0,66.0,18.0
COAX 300/60,178,0.3223878434426675,247533.29,0.0,0.0,32883.81,64.0,14.0
Fiber 10/10,138,0.2499411370510568,3397659.38,0.0,0.0,114615.68000000001,152.0,49.0
COAX 200/20,123,0.22277362215420282,307775.56,0.0,0.0,6473.1900000000005,20.0,5.0
Fiber 30/30,74,0.13402640682447975,221761.57,0.0,0.0,1495.0,5.0,0.0
Fiber 60/60,18,0.032601017876224804,93365.94,1.0,0.0,1076.0,3.0,1.0
Fiber 400/400,1,0.0018111676597902667,3390.0,0.0,0.0,0.0,0.0,0.0
