Kontraktnavn,Count,Percent,Payment,PremiumWifiCount,AccessPointCount,RykkerSaldoSum,AntalRykker1Sum,AntalRykker2Sum
Fiber 300/300,21013,36.25243689940134,255722329.28,1042.0,115.0,5883340.16,9890.0,2546.0
Fiber 100/100,11095,19.141521315321842,158504277.59,417.0,12.0,4482066.09,7022.0,1883.0
Fiber 1000/1000,10731,18.51353449614409,53702469.05,4891.0,373.0,2623423.36,3911.0,1187.0
Fiber 500/500,5531,9.542294222176215,107077080.15,2874.0,195.0,3628345.66,4993.0,1420.0
DSL,1927,3.324534616910788,3855137.23,0.0,0.0,170840.66,440.0,119.0
Fiber 25/25,1514,2.6120111105360317,42757797.44,25.0,0.0,699990.22,1070.0,211.0
COAX 1000/60,1248,2.15309766575229,2652914.55,0.0,0.0,106897.66,249.0,74.0
COAX 100/35,846,1.4595517830340043,1491982.16,0.0,0.0,49115.0,159.0,28.0
Fiber 200/200,829,1.4302227282921864,1938620.34,0.0,0.0,62435.479999999996,151.0,33.0
Fiber 1000/500,690,1.1904145748149682,1710310.1,0.0,0.0,42293.92,90.0,26.0
Fiber 20/20,605,1.043769301105878,15782499.97,6.0,0.0,301766.12,325.0,76.0
Fiber 50/50,448,0.7729068543726171,10077625.64,16.0,0.0,350473.11,407.0,110.0
Fiber 250/250,298,0.5141210772389283,613838.74,0.0,0.0,15336.54,33.0,13.0
COAX 200/25,283,0.48824249952555937,499777.22,0.0,0.0,19850.0,60.0,17.0
COAX 1000/500,205,0.3536738954160413,292693.41,0.0,0.0,37557.87,69.0,17.0
COAX 300/300,204,0.3519486569018167,248580.16,0.0,0.0,27758.49,63.0,14.0
Fiber 10/10,164,0.28293911633283303,3872556.61,0.0,0.0,122617.61,167.0,49.0
COAX 200/20,134,0.23118196090609527,236527.17,0.0,0.0,8665.19,24.0,7.0
COAX 300/60,96,0.16562289736556077,128530.66,0.0,0.0,26287.309999999998,48.0,14.0
Fiber 30/30,81,0.13974431965219192,170217.64,0.0,0.0,2093.0,7.0,0.0
Fiber 60/60,19,0.03277953177026724,81048.35,1.0,0.0,807.0,2.0,1.0
Fiber 400/400,2,0.003450477028449183,4746.0,0.0,0.0,0.0,0.0,0.0
